model,coin,mse_scaled,rmse_scaled,mae_scaled
GRU,BTCUSDT,0.59732,0.7728648136633094,0.6949366
GRU,DOGEUSDT,0.0076161046,0.08727029596667034,0.061892323
GRU,ETHUSDT,0.035393786,0.18813236214245763,0.15376715
GRU,SOLUSDT,0.15683256,0.3960209096712868,0.3516308
GRU,LINKUSDT,0.009699547,0.0984862768714934,0.079907954
GRU,TRXUSDT,1.0334315,1.0165783442503482,0.9222941
GRU,XRPUSDT,0.7276356,0.8530156047954435,0.7589978
CLAM,ADAUSDT,0.016982071,0.13031527578018434,0.10808231
CLAM,AVAXUSDT,0.08929845,0.29882846159074566,0.19433169
CLAM,BNBUSDT,0.5576646,0.7467694243825175,0.65192354
CLAM,BTCUSDT,0.774093,0.8798255351367082,0.80619377
CLAM,DOGEUSDT,0.014985483,0.12241520795944164,0.09937951
CLAM,ETHUSDT,0.07049549,0.26550987497650824,0.22101355
CLAM,SOLUSDT,0.15939513,0.39924319466778724,0.3510817
CLAM,LINKUSDT,0.013105941,0.11448118188178849,0.09352354
CLAM,TRXUSDT,1.5679018,1.2521588756011373,1.1210126
CLAM,XRPUSDT,0.82892203,0.910451554619979,0.80331606
